"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CAALFM_C101090CA",965.911306736522,-0.00108921196681819,0.0562579705401101,0.868343391544633,0.99970875222106
"CAALFM_C101100WA",1158.63065950121,0.00385159885322511,0.0560192986911629,0.689971509902427,0.99970875222106
"CAALFM_C101110CA",3110.55274102276,-0.000776970846262376,0.0565485517199205,0.828034306859196,0.99970875222106
"CAALFM_C101130WA",908.794154261173,0.0104595471755212,0.0558025628010877,0.488142662612262,0.99970875222106
"CAALFM_C101140CA",1793.24461137021,0.00156064469701118,0.0565251556991266,0.732547948361718,0.99970875222106
"CAALFM_C101150CA",1325.46623164568,-0.000735548872424629,0.0565111802441403,0.856457867035468,0.99970875222106
"CAALFM_C101160CA",992.078229787001,-0.00068933001188464,0.0565290775458137,0.857008618952286,0.99970875222106
"CAALFM_C101170CA",982.03883971702,-0.00164182462446451,0.0563900109660497,0.776328740034546,0.99970875222106
"CAALFM_C101180CA",57.4307830838092,-0.000942231150193891,0.0564283148157141,0.855673228424355,0.99970875222106
"CAALFM_C101190CA",1048.792509454,0.000566639420560028,0.0553783514443911,0.963771456405854,0.99970875222106
"CAALFM_C101200WA",671.350024300583,0.0124559248143907,0.0559612884817983,0.44595292708652,0.99970875222106
"CAALFM_C101210WA",1071.71281375727,0.00530624377026671,0.0555471051474021,0.673513771715601,0.99970875222106
"CAALFM_C101220CA",46.1881171950477,0.00242203690020584,0.056665990647347,0.421884201996221,0.99970875222106
"CAALFM_C101240WA",497.98242021409,0.000345628313273409,0.0559388445086522,0.971756497438193,0.99970875222106
"CAALFM_C101250WA",3311.91739247659,0.00176404491883879,0.055872972671616,0.856519191704036,0.99970875222106
"CAALFM_C101260CA",166.241002465878,0.00409103332429716,0.055830174343211,0.702837357912407,0.99970875222106
"CAALFM_C101270WA",716.139527628113,0.00329190173490819,0.0559226530532923,0.770229771131575,0.99970875222106
"CAALFM_C101280CA",134.590520435642,-0.00722068698943109,0.0557729766640629,0.572039081723563,0.99970875222106
"CAALFM_C101290CA",385.525596985976,0.00197960401972729,0.056313030915753,0.771387749623712,0.99970875222106
"CAALFM_C101300WA",3160.90591560618,0.00144939410154937,0.0558420508044112,0.8850859555964,0.99970875222106
"CAALFM_C101320WA",4746.19945238578,-0.00259120026347304,0.0554076023409603,0.826474498565233,0.99970875222106
"CAALFM_C101330CA",2293.88372696787,-0.00937452837330905,0.0565525844114939,0.41459443516943,0.99970875222106
"CAALFM_C101340CA",285.815533625544,0.000887944577019906,0.0563792928859386,0.877556313838949,0.99970875222106
"CAALFM_C101350CA",31720.5615066547,-0.000956058988047035,0.0564850507826526,0.828835266180604,0.99970875222106
"CAALFM_C101360CA",2963.37340004837,0.00218577713464857,0.0565458230400911,0.636711997011075,0.99970875222106
"CAALFM_C101370CA",28694.3624982096,0.00139154113712137,0.0564649355988331,0.588614090513762,0.99970875222106
"CAALFM_C101380CA",1222.67364086831,-0.000406008863946891,0.0565953590402116,0.872984665546046,0.99970875222106
"CAALFM_C101390CA",1003.04819226921,0.0045329002979874,0.055112035765361,0.747960418096087,0.99970875222106
"CAALFM_C101400CA",1411.94510989786,0.00313090655663722,0.0556323857046016,0.782779540743945,0.99970875222106
"CAALFM_C101420CA",1088.81657230259,-0.000190401326719113,0.0543022902064884,0.979034084753703,0.99970875222106
"CAALFM_C101440CA",54.0526734606725,-0.00342834066444728,0.0566731614069962,0.400997647834917,0.99970875222106
"CAALFM_C101450WA",2727.43996688983,-0.00149606335799699,0.056214747905618,0.818592028071877,0.99970875222106
"CAALFM_C101460WA",1032.16664851242,0.0137829918683472,0.0559180571717102,0.431151313749646,0.99970875222106
"CAALFM_C101470WA",3011.70384870222,-0.00115133112036996,0.056086206902015,0.888752936105906,0.99970875222106
"CAALFM_C101480CA",67167.5138817759,-0.0058866496102943,0.0569509021666248,0.791667583019097,0.99970875222106
"CAALFM_C101490WA",7202.1488464644,0.00272609162837535,0.0563481589870232,0.693065722509356,0.99970875222106
"CAALFM_C101510WA",40.3810529878777,0.000578997804710225,0.0565041692919409,0.896748547904228,0.99970875222106
"CAALFM_C101520CA",5658.01704801676,0.0117280865163955,0.0550026766294642,0.514216398759609,0.99970875222106
"CAALFM_C101530CA",8434.79979128767,-0.000543172678481568,0.0564991588258905,0.893319291831828,0.99970875222106
"CAALFM_C101540WA",1138.84096578217,0.00483447730006009,0.0563346802830595,0.566320243611956,0.99970875222106
"CAALFM_C101550WA",1056.17521027971,0.00688150212391842,0.0549552367643319,0.645849658497193,0.99970875222106
"CAALFM_C101560WA",2218.24467386613,0.0049117309154022,0.0551388390825825,0.717943156392104,0.99970875222106
"CAALFM_C101570CA",1783.87042027386,-0.00191757593731305,0.0561512187876778,0.803976265439309,0.99970875222106
"CAALFM_C101580WA",1862.69169386754,-0.00113756092734451,0.0564507699033686,0.817682714240834,0.99970875222106
"CAALFM_C101590CA",7032.52909870975,0.000357779723015114,0.0538572217350539,0.979830087900687,0.99970875222106
